employee_id,survey_date,score,category
E10001,2023-09-15,7,Passive
E10001,2023-12-15,10,Promoter
E10001,2024-03-15,6,Detractor
E10001,2024-06-15,7,Passive
E10001,2024-09-15,4,Detractor
E10001,2024-12-15,6,Detractor
E10001,2025-09-15,5,Detractor
E10001,2025-12-15,7,Passive
E10001,2026-03-15,7,Passive
E10002,2024-03-15,5,Detractor
E10002,2024-09-15,7,Passive
E10002,2024-12-15,7,Passive
E10002,2025-03-15,7,Passive
E10002,2025-06-15,8,Passive
E10002,2025-09-15,9,Promoter
E10002,2026-03-15,5,Detractor
E10003,2023-09-15,7,Passive
E10003,2023-12-15,7,Passive
E10003,2024-03-15,5,Detractor
E10003,2024-06-15,5,Detractor
E10003,2025-03-15,8,Passive
E10003,2025-06-15,9,Promoter
E10003,2025-09-15,5,Detractor
E10003,2025-12-15,10,Promoter
E10004,2023-09-15,5,Detractor
E10004,2023-12-15,8,Passive
E10004,2024-03-15,7,Passive
E10004,2024-06-15,6,Detractor
E10004,2024-09-15,5,Detractor
E10004,2024-12-15,7,Passive
E10004,2025-03-15,6,Detractor
E10004,2025-06-15,8,Passive
E10004,2025-09-15,8,Passive
E10004,2026-03-15,5,Detractor
E10005,2024-09-15,5,Detractor
E10005,2024-12-15,7,Passive
E10005,2025-03-15,10,Promoter
E10005,2025-09-15,7,Passive
E10005,2025-12-15,8,Passive
E10006,2024-06-15,6,Detractor
E10006,2024-09-15,6,Detractor
E10006,2025-03-15,7,Passive
E10006,2025-06-15,5,Detractor
E10006,2025-09-15,7,Passive
E10007,2023-09-15,5,Detractor
E10007,2023-12-15,7,Passive
E10007,2024-06-15,7,Passive
E10007,2024-09-15,9,Promoter
E10007,2024-12-15,4,Detractor
E10007,2025-03-15,6,Detractor
E10007,2025-06-15,6,Detractor
E10008,2023-09-15,8,Passive
E10008,2023-12-15,6,Detractor
E10008,2024-03-15,10,Promoter
E10008,2024-09-15,7,Passive
E10008,2024-12-15,6,Detractor
E10008,2025-06-15,6,Detractor
E10008,2025-12-15,6,Detractor
E10008,2026-03-15,7,Passive
E10009,2024-09-15,6,Detractor
E10009,2024-12-15,5,Detractor
E10009,2025-03-15,7,Passive
E10009,2025-06-15,5,Detractor
E10009,2025-12-15,5,Detractor
E10009,2026-03-15,6,Detractor
E10010,2023-12-15,7,Passive
E10010,2024-03-15,7,Passive
E10010,2024-06-15,7,Passive
E10010,2024-09-15,6,Detractor
E10010,2024-12-15,7,Passive
E10010,2025-06-15,6,Detractor
E10010,2026-03-15,8,Passive
E10011,2024-09-15,7,Passive
E10011,2024-12-15,10,Promoter
E10011,2025-03-15,6,Detractor
E10011,2025-06-15,7,Passive
E10011,2025-09-15,8,Passive
E10012,2024-09-15,8,Passive
E10012,2024-12-15,7,Passive
E10012,2025-09-15,7,Passive
E10012,2025-12-15,7,Passive
E10013,2023-09-15,7,Passive
E10013,2024-06-15,7,Passive
E10013,2024-09-15,8,Passive
E10013,2025-03-15,7,Passive
E10013,2025-06-15,5,Detractor
E10013,2025-09-15,9,Promoter
E10013,2025-12-15,8,Passive
E10015,2025-09-15,5,Detractor
E10015,2025-12-15,6,Detractor
E10015,2026-03-15,6,Detractor
E10016,2024-09-15,6,Detractor
E10016,2025-03-15,8,Passive
E10016,2025-06-15,6,Detractor
E10016,2025-12-15,9,Promoter
E10016,2026-03-15,4,Detractor
E10017,2025-03-15,7,Passive
E10017,2026-03-15,4,Detractor
E10018,2023-09-15,7,Passive
E10018,2023-12-15,8,Passive
E10018,2024-06-15,8,Passive
E10018,2024-12-15,5,Detractor
E10018,2025-03-15,8,Passive
E10018,2025-06-15,5,Detractor
E10018,2025-09-15,7,Passive
E10018,2026-03-15,6,Detractor
E10019,2025-03-15,5,Detractor
E10019,2025-12-15,7,Passive
E10020,2025-06-15,6,Detractor
E10020,2025-09-15,8,Passive
E10020,2025-12-15,8,Passive
E10020,2026-03-15,8,Passive
E10021,2023-09-15,5,Detractor
E10021,2023-12-15,5,Detractor
E10021,2024-09-15,8,Passive
E10021,2024-12-15,6,Detractor
E10021,2025-03-15,9,Promoter
E10021,2025-06-15,5,Detractor
E10021,2026-03-15,7,Passive
E10022,2024-06-15,7,Passive
E10022,2024-09-15,7,Passive
E10022,2024-12-15,7,Passive
E10022,2025-06-15,5,Detractor
E10022,2025-09-15,7,Passive
E10022,2025-12-15,6,Detractor
E10022,2026-03-15,7,Passive
E10023,2023-12-15,10,Promoter
E10023,2024-06-15,6,Detractor
E10023,2024-09-15,7,Passive
E10023,2024-12-15,7,Passive
E10023,2025-06-15,6,Detractor
E10023,2025-09-15,6,Detractor
E10023,2025-12-15,7,Passive
E10023,2026-03-15,8,Passive
E10024,2025-06-15,7,Passive
E10024,2025-09-15,8,Passive
E10024,2026-03-15,6,Detractor
E10025,2024-09-15,7,Passive
E10025,2024-12-15,6,Detractor
E10025,2025-03-15,6,Detractor
E10025,2025-06-15,8,Passive
E10025,2025-12-15,6,Detractor
E10025,2026-03-15,7,Passive
E10026,2023-09-15,6,Detractor
E10026,2023-12-15,7,Passive
E10026,2024-03-15,7,Passive
E10026,2024-06-15,6,Detractor
E10026,2024-09-15,6,Detractor
E10026,2024-12-15,5,Detractor
E10026,2025-03-15,7,Passive
E10026,2025-06-15,4,Detractor
E10027,2025-06-15,6,Detractor
E10027,2025-09-15,7,Passive
E10027,2025-12-15,6,Detractor
E10027,2026-03-15,5,Detractor
E10028,2023-09-15,6,Detractor
E10028,2024-03-15,9,Promoter
E10028,2024-06-15,7,Passive
E10028,2024-12-15,8,Passive
E10028,2025-03-15,8,Passive
E10028,2025-06-15,6,Detractor
E10028,2025-09-15,5,Detractor
E10028,2026-03-15,7,Passive
E10029,2025-03-15,6,Detractor
E10029,2025-06-15,6,Detractor
E10029,2025-09-15,7,Passive
E10029,2025-12-15,6,Detractor
E10030,2024-09-15,4,Detractor
E10030,2024-12-15,5,Detractor
E10030,2025-03-15,9,Promoter
E10031,2025-03-15,7,Passive
E10031,2025-06-15,7,Passive
E10031,2025-09-15,5,Detractor
E10031,2025-12-15,5,Detractor
E10031,2026-03-15,7,Passive
E10032,2023-09-15,9,Promoter
E10032,2023-12-15,6,Detractor
E10032,2024-03-15,9,Promoter
E10032,2024-06-15,6,Detractor
E10032,2024-09-15,5,Detractor
E10032,2025-09-15,7,Passive
E10032,2025-12-15,5,Detractor
E10032,2026-03-15,5,Detractor
E10033,2023-12-15,5,Detractor
E10033,2024-06-15,6,Detractor
E10033,2024-09-15,4,Detractor
E10033,2024-12-15,8,Passive
E10033,2025-03-15,8,Passive
E10033,2025-06-15,7,Passive
E10033,2025-09-15,8,Passive
E10033,2025-12-15,8,Passive
E10033,2026-03-15,5,Detractor
E10034,2025-03-15,8,Passive
E10034,2025-06-15,8,Passive
E10034,2025-12-15,8,Passive
E10035,2023-09-15,8,Passive
E10035,2023-12-15,7,Passive
E10035,2024-03-15,6,Detractor
E10035,2024-06-15,7,Passive
E10035,2024-09-15,6,Detractor
E10035,2024-12-15,9,Promoter
E10035,2025-03-15,7,Passive
E10035,2025-09-15,8,Passive
E10035,2025-12-15,4,Detractor
E10035,2026-03-15,5,Detractor
E10036,2025-06-15,5,Detractor
E10036,2025-09-15,4,Detractor
E10036,2025-12-15,7,Passive
